	gene_short_name
YDL215C	YDL215C
YDL217C	YDL217C
YDL219W	YDL219W
YDL222C	YDL222C
YDL223C	YDL223C
YDL224C	YDL224C
YDL225W	YDL225W
YDL226C	YDL226C
YDL229W	YDL229W
YDL230W	YDL230W
YDL231C	YDL231C
YDL232W	YDL232W
YDL234C	YDL234C
YDL235C	YDL235C
YDL236W	YDL236W
YDL237W	YDL237W
YDL239C	YDL239C
YDR001C	YDR001C
YDR002W	YDR002W
YDR003W	YDR003W
YDR003W-A	YDR003W-A
YDR005C	YDR005C
YDR006C	YDR006C
YDR007W	YDR007W
YDR011W	YDR011W
YDR012W	YDR012W
YDR013W	YDR013W
YDR016C	YDR016C
YDR017C	YDR017C
YDR019C	YDR019C
YDR023W	YDR023W
YDR024W	YDR024W
YDR025W	YDR025W
YDR027C	YDR027C
YDR028C	YDR028C
YDR029W	YDR029W
YDR031W	YDR031W
YDR032C	YDR032C
YDR033W	YDR033W
YDR034C	YDR034C
YDR034C-D	YDR034C-D
YDR034W-B	YDR034W-B
YDR035W	YDR035W
YDR036C	YDR036C
YDR037W	YDR037W
YDR038C	YDR038C
YDR039C	YDR039C
YDR040C	YDR040C
YDR041W	YDR041W
YDR044W	YDR044W
YDR046C	YDR046C
YDR047W	YDR047W
YDR049W	YDR049W
YDR050C	YDR050C
YDR051C	YDR051C
YDR052C	YDR052C
YDR054C	YDR054C
YDR056C	YDR056C
YDR059C	YDR059C
YDR060W	YDR060W
YDR062W	YDR062W
YDR063W	YDR063W
YDR064W	YDR064W
YDR068W	YDR068W
YDR069C	YDR069C
YDR070C	YDR070C
YDR071C	YDR071C
YDR072C	YDR072C
YDR073W	YDR073W
YDR074W	YDR074W
YDR077W	YDR077W
YDR078C	YDR078C
YDR079C-A	YDR079C-A
YDR079W	YDR079W
YDR080W	YDR080W
YDR081C	YDR081C
YDR083W	YDR083W
YDR084C	YDR084C
YDR085C	YDR085C
YDR086C	YDR086C
YDR087C	YDR087C
YDR088C	YDR088C
YDR091C	YDR091C
YDR092W	YDR092W
YDR093W	YDR093W
YDR096W	YDR096W
YDR098C	YDR098C
YDR098C-B	YDR098C-B
YDR099W	YDR099W
YDR100W	YDR100W
YDR101C	YDR101C
YDR103W	YDR103W
YDR107C	YDR107C
YDR109C	YDR109C
YDR115W	YDR115W
YDR116C	YDR116C
YDR117C	YDR117C
YDR119W	YDR119W
YDR120C	YDR120C
YDR121W	YDR121W
YDR122W	YDR122W
YDR127W	YDR127W
YDR128W	YDR128W
YDR129C	YDR129C
YDR133C	YDR133C
YDR134C	YDR134C
YDR135C	YDR135C
YDR137W	YDR137W
YDR139C	YDR139C
YDR140W	YDR140W
YDR141C	YDR141C
YDR143C	YDR143C
YDR144C	YDR144C
YDR145W	YDR145W
YDR146C	YDR146C
YDR147W	YDR147W
YDR148C	YDR148C
YDR150W	YDR150W
YDR151C	YDR151C
YDR152W	YDR152W
YDR153C	YDR153C
YDR154C	YDR154C
YDR155C	YDR155C
YDR156W	YDR156W
YDR158W	YDR158W
YDR159W	YDR159W
YDR161W	YDR161W
YDR162C	YDR162C
YDR163W	YDR163W
YDR164C	YDR164C
YDR165W	YDR165W
YDR166C	YDR166C
YDR167W	YDR167W
YDR168W	YDR168W
YDR169C	YDR169C
YDR170C	YDR170C
YDR170W-A	YDR170W-A
YDR171W	YDR171W
YDR172W	YDR172W
YDR174W	YDR174W
YDR175C	YDR175C
YDR176W	YDR176W
YDR177W	YDR177W
YDR178W	YDR178W
YDR181C	YDR181C
YDR182W	YDR182W
YDR186C	YDR186C
YDR188W	YDR188W
YDR189W	YDR189W
YDR190C	YDR190C
YDR194C	YDR194C
YDR195W	YDR195W
YDR196C	YDR196C
YDR197W	YDR197W
YDR200C	YDR200C
YDR201W	YDR201W
YDR202C	YDR202C
YDR204W	YDR204W
YDR205W	YDR205W
YDR206W	YDR206W
YDR207C	YDR207C
YDR208W	YDR208W
YDR209C	YDR209C
YDR210C-D	YDR210C-D
YDR210W-B	YDR210W-B
YDR211W	YDR211W
YDR212W	YDR212W
YDR214W	YDR214W
YDR217C	YDR217C
YDR222W	YDR222W
YDR224C	YDR224C
YDR225W	YDR225W
YDR226W	YDR226W
YDR227W	YDR227W
YDR228C	YDR228C
YDR229W	YDR229W
YDR231C	YDR231C
YDR232W	YDR232W
YDR233C	YDR233C
YDR234W	YDR234W
YDR235W	YDR235W
YDR236C	YDR236C
YDR237W	YDR237W
YDR238C	YDR238C
YDR244W	YDR244W
YDR245W	YDR245W
YDR246W	YDR246W
YDR248C	YDR248C
YDR251W	YDR251W
YDR254W	YDR254W
YDR255C	YDR255C
YDR257C	YDR257C
YDR258C	YDR258C
YDR260C	YDR260C
YDR261C	YDR261C
YDR261C-D	YDR261C-D
YDR261W-B	YDR261W-B
YDR262W	YDR262W
YDR264C	YDR264C
YDR265W	YDR265W
YDR266C	YDR266C
YDR267C	YDR267C
YDR272W	YDR272W
YDR276C	YDR276C
YDR280W	YDR280W
YDR283C	YDR283C
YDR284C	YDR284C
YDR287W	YDR287W
YDR288W	YDR288W
YDR289C	YDR289C
YDR292C	YDR292C
YDR293C	YDR293C
YDR294C	YDR294C
YDR295C	YDR295C
YDR296W	YDR296W
YDR297W	YDR297W
YDR298C	YDR298C
YDR300C	YDR300C
YDR301W	YDR301W
YDR302W	YDR302W
YDR303C	YDR303C
YDR304C	YDR304C
YDR306C	YDR306C
YDR307W	YDR307W
YDR309C	YDR309C
YDR310C	YDR310C
YDR312W	YDR312W
YDR313C	YDR313C
YDR316W-B	YDR316W-B
YDR320C	YDR320C
YDR320C-A	YDR320C-A
YDR321W	YDR321W
YDR322C-A	YDR322C-A
YDR322W	YDR322W
YDR324C	YDR324C
YDR326C	YDR326C
YDR327W	YDR327W
YDR328C	YDR328C
YDR329C	YDR329C
YDR330W	YDR330W
YDR331W	YDR331W
YDR332W	YDR332W
YDR333C	YDR333C
YDR334W	YDR334W
YDR335W	YDR335W
YDR337W	YDR337W
YDR339C	YDR339C
YDR341C	YDR341C
YDR345C	YDR345C
YDR346C	YDR346C
YDR347W	YDR347W
YDR348C	YDR348C
YDR349C	YDR349C
YDR351W	YDR351W
YDR353W	YDR353W
YDR356W	YDR356W
YDR357C	YDR357C
YDR358W	YDR358W
YDR359C	YDR359C
YDR361C	YDR361C
YDR363W-A	YDR363W-A
YDR365C	YDR365C
YDR365W-B	YDR365W-B
YDR366C	YDR366C
YDR367W	YDR367W
YDR368W	YDR368W
YDR372C	YDR372C
YDR373W	YDR373W
YDR377W	YDR377W
YDR378C	YDR378C
YDR379C-A	YDR379C-A
YDR379W	YDR379W
YDR380W	YDR380W
YDR381C-A	YDR381C-A
YDR381W	YDR381W
YDR382W	YDR382W
YDR383C	YDR383C
YDR384C	YDR384C
YDR385W	YDR385W
YDR388W	YDR388W
YDR389W	YDR389W
YDR390C	YDR390C
YDR391C	YDR391C
YDR392W	YDR392W
YDR393W	YDR393W
YDR394W	YDR394W
